TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.56885910E+01 1.13287020E+01
 2.56795692E+01 1.16846609E+01
 2.56632042E+01 1.20630407E+01
 2.56380081E+01 1.24646378E+01
 2.56026840E+01 1.28904200E+01
 2.55557442E+01 1.33406401E+01
 2.54956627E+01 1.38156796E+01
 2.54209709E+01 1.43149424E+01
 2.53302383E+01 1.48377991E+01
 2.52221107E+01 1.53822803E+01
 2.50956345E+01 1.59465218E+01
 2.49498177E+01 1.65264797E+01
 2.47840309E+01 1.71188021E+01
 2.45977402E+01 1.77174377E+01
 2.43910027E+01 1.83172178E+01
 2.41637230E+01 1.89108610E+01
 2.39165688E+01 1.94918203E+01
 2.36504936E+01 2.00525379E+01
 2.33667183E+01 2.05867958E+01
 2.30673599E+01 2.10877609E+01
 2.27542686E+01 2.15508556E+01
 2.24301910E+01 2.19709587E+01
 2.20973206E+01 2.23454380E+01
 2.17585373E+01 2.26715374E+01
 2.14161110E+01 2.29478645E+01
 2.10729599E+01 2.31727982E+01
 2.07319260E+01 2.33469200E+01
 2.03974533E+01 2.34710979E+01
 2.00734138E+01 2.35491562E+01
 1.97638893E+01 2.35861015E+01
 1.94715691E+01 2.35873604E+01
 1.91982269E+01 2.35595226E+01
 1.89447021E+01 2.35079575E+01
 1.86960220E+01 2.34329796E+01
 1.84382439E+01 2.33292580E+01
 1.81730080E+01 2.31939411E+01
 1.79013062E+01 2.30238438E+01
 1.76253319E+01 2.28175831E+01
 1.73467636E+01 2.25739384E+01
 1.70664787E+01 2.22917175E+01
 1.67861176E+01 2.19698048E+01
 1.65072250E+01 2.16068554E+01
 1.62320709E+01 2.12053394E+01
 1.59630394E+01 2.07651997E+01
 1.57022667E+01 2.02882576E+01
 1.54500389E+01 1.97775793E+01
 1.52096176E+01 1.92346001E+01
 1.49818230E+01 1.86674976E+01
 1.47671509E+01 1.80731821E+01
 1.45689774E+01 1.74694777E+01
 1.43869400E+01 1.68549013E+01
 1.42225456E+01 1.62397194E+01
 1.40758324E+01 1.56285810E+01
 1.39478111E+01 1.50272179E+01
 1.38383293E+01 1.44406223E+01
 1.37473106E+01 1.38721180E+01
 1.36743164E+01 1.33247614E+01
 1.36183357E+01 1.28006792E+01
 1.35782051E+01 1.23013020E+01
 1.35523224E+01 1.18274212E+01
 1.35390663E+01 1.13792419E+01
 1.35366249E+01 1.09565020E+01
 1.35433960E+01 1.05586004E+01
 1.35577583E+01 1.01846790E+01
 1.35782242E+01 9.83367920E+00
 1.36053467E+01 9.48318005E+00
 1.36414337E+01 9.11094189E+00
 1.36879539E+01 8.71610165E+00
 1.37462807E+01 8.29795838E+00
 1.38178253E+01 7.85615921E+00
 1.39039040E+01 7.39054203E+00
 1.40056610E+01 6.90147877E+00
 1.41239929E+01 6.38981819E+00
 1.42594910E+01 5.85706234E+00
 1.44122124E+01 5.30513764E+00
 1.45820427E+01 4.73705768E+00
 1.47683144E+01 4.15666103E+00
 1.49703217E+01 3.56795788E+00
 1.51869583E+01 2.97733784E+00
 1.54169464E+01 2.38984108E+00
 1.56591797E+01 1.81406021E+00
 1.59126472E+01 1.25130177E+00
 1.61743546E+01 7.15098381E-01
 1.64440346E+01 2.05421448E-01
 1.67195129E+01 -2.72879601E-01
 1.69997406E+01 -7.16261864E-01
 1.72834587E+01 -1.12185955E+00
 1.75688553E+01 -1.48838043E+00
 1.78545761E+01 -1.81273937E+00
 1.81430244E+01 -2.09452152E+00
 1.84350586E+01 -2.32676029E+00
 1.87310791E+01 -2.50805855E+00
 1.90264511E+01 -2.63748169E+00
 1.93162155E+01 -2.71780014E+00
 1.95952797E+01 -2.75412083E+00
 1.98595428E+01 -2.75238037E+00
 2.01065445E+01 -2.71828175E+00
 2.03495026E+01 -2.65418053E+00
 2.06001282E+01 -2.55440235E+00
 2.08553886E+01 -2.41501808E+00
 2.11126518E+01 -2.23308086E+00
 2.13690758E+01 -2.00940132E+00
 2.16254807E+01 -1.74377918E+00
 2.18833160E+01 -1.43844128E+00
 2.21430588E+01 -1.09494209E+00
 2.24053383E+01 -7.11297989E-01
 2.26673508E+01 -2.88619995E-01
 2.29289055E+01 1.72681808E-01
 2.31878853E+01 6.70461655E-01
 2.34427261E+01 1.20172024E+00
 2.36913872E+01 1.76352024E+00
 2.39314270E+01 2.34958172E+00
 2.41617203E+01 2.95549870E+00
 2.43796158E+01 3.57490063E+00
 2.45835495E+01 4.20070171E+00
 2.47715950E+01 4.82761860E+00
 2.49422836E+01 5.44879913E+00
 2.50943947E+01 6.05986118E+00
 2.52273560E+01 6.65602207E+00
 2.53411674E+01 7.23308086E+00
 2.54360771E+01 7.78853893E+00
 2.55133629E+01 8.32014084E+00
 2.55742645E+01 8.82647991E+00
 2.56204414E+01 9.30687904E+00
 2.56535149E+01 9.76121902E+00
 2.56753540E+01 1.01897383E+01
 2.56874275E+01 1.05931807E+01
 2.56913948E+01 1.09724617E+01
 2.56885910E+01 1.13287020E+01
