TITLE     = ""
VARIABLES = "X" "Z"
ZONE T="CELL"
 I=129, J=1, K=1, ZONETYPE=Ordered
 DATAPACKING=POINT
 DT=(SINGLE SINGLE )
 2.48431611E+01 1.78721380E+01
 2.48344827E+01 1.81215000E+01
 2.48201776E+01 1.83865976E+01
 2.47990823E+01 1.86678791E+01
 2.47700334E+01 1.89657402E+01
 2.47318673E+01 1.92807388E+01
 2.46831918E+01 1.96126604E+01
 2.46225190E+01 1.99611378E+01
 2.45484376E+01 2.03257179E+01
 2.44593644E+01 2.07043552E+01
 2.43539643E+01 2.10961246E+01
 2.42309785E+01 2.14974022E+01
 2.40891480E+01 2.19055367E+01
 2.39275765E+01 2.23165989E+01
 2.37462258E+01 2.27252960E+01
 2.35447145E+01 2.31280041E+01
 2.33238053E+01 2.35181999E+01
 2.30846047E+01 2.38915443E+01
 2.28286958E+01 2.42430401E+01
 2.25584245E+01 2.45679760E+01
 2.22763467E+01 2.48629761E+01
 2.19855142E+01 2.51254368E+01
 2.16894937E+01 2.53530788E+01
 2.13913369E+01 2.55460358E+01
 2.10950685E+01 2.57040215E+01
 2.08034539E+01 2.58288765E+01
 2.05197930E+01 2.59226799E+01
 2.02463746E+01 2.59881592E+01
 1.99850106E+01 2.60285568E+01
 1.97371888E+01 2.60474205E+01
 1.95035577E+01 2.60476017E+01
 1.92844605E+01 2.60325241E+01
 1.90798020E+01 2.60050964E+01
 1.88769937E+01 2.59648609E+01
 1.86638093E+01 2.59083366E+01
 1.84406495E+01 2.58332825E+01
 1.82085443E+01 2.57373810E+01
 1.79684854E+01 2.56180763E+01
 1.77217507E+01 2.54730606E+01
 1.74706292E+01 2.53009415E+01
 1.72166657E+01 2.50994205E+01
 1.69621491E+01 2.48675442E+01
 1.67099786E+01 2.46057415E+01
 1.64622140E+01 2.43130970E+01
 1.62219071E+01 2.39915371E+01
 1.59908891E+01 2.36424446E+01
 1.57721162E+01 2.32696247E+01
 1.55670190E+01 2.28740215E+01
 1.53782296E+01 2.24640179E+01
 1.52057672E+01 2.20389557E+01
 1.50516915E+01 2.16086578E+01
 1.49157739E+01 2.11743832E+01
 1.47980523E+01 2.07425213E+01
 1.46982217E+01 2.03168201E+01
 1.46153665E+01 1.99005985E+01
 1.45485330E+01 1.94971991E+01
 1.44965005E+01 1.91086388E+01
 1.44578195E+01 1.87367392E+01
 1.44311357E+01 1.83824587E+01
 1.44149423E+01 1.80464411E+01
 1.44078279E+01 1.77288008E+01
 1.44084191E+01 1.74293423E+01
 1.44154572E+01 1.71475983E+01
 1.44278359E+01 1.68829393E+01
 1.44444871E+01 1.66345596E+01
 1.44659638E+01 1.63865995E+01
 1.44940782E+01 1.61233616E+01
 1.45298982E+01 1.58442211E+01
 1.45745111E+01 1.55487013E+01
 1.46290994E+01 1.52366018E+01
 1.46948647E+01 1.49078989E+01
 1.47729135E+01 1.45629406E+01
 1.48644090E+01 1.42023993E+01
 1.49702668E+01 1.38275623E+01
 1.50912690E+01 1.34402418E+01
 1.52279496E+01 1.30425215E+01
 1.53807282E+01 1.26375008E+01
 1.55494332E+01 1.22289610E+01
 1.57337213E+01 1.18200588E+01
 1.59330583E+01 1.14164400E+01
 1.61468148E+01 1.10214615E+01
 1.63731790E+01 1.06412411E+01
 1.66119599E+01 1.02783585E+01
 1.68607545E+01 9.93966103E+00
 1.71189141E+01 9.62637901E+00
 1.73844552E+01 9.34323788E+00
 1.76554894E+01 9.09279823E+00
 1.79303193E+01 8.87584210E+00
 1.82060838E+01 8.69435787E+00
 1.84802651E+01 8.54782104E+00
 1.87501168E+01 8.43465805E+00
 1.90124154E+01 8.35318088E+00
 1.92651963E+01 8.30051899E+00
 1.95062089E+01 8.27293873E+00
 1.97340226E+01 8.26700210E+00
 1.99480462E+01 8.27960014E+00
 2.01480889E+01 8.30698013E+00
 2.03459764E+01 8.34911823E+00
 2.05530763E+01 8.40995788E+00
 2.07688546E+01 8.49202156E+00
 2.09923768E+01 8.59776020E+00
 2.12217164E+01 8.72898102E+00
 2.14554429E+01 8.88803959E+00
 2.16922021E+01 9.07661915E+00
 2.19297814E+01 9.29451942E+00
 2.21670175E+01 9.54296112E+00
 2.24023080E+01 9.82170105E+00
 2.26339364E+01 1.01290178E+01
 2.28606248E+01 1.04638004E+01
 2.30806756E+01 1.08246183E+01
 2.32923722E+01 1.12069178E+01
 2.34942842E+01 1.16087198E+01
 2.36847138E+01 1.20257998E+01
 2.38617921E+01 1.24527407E+01
 2.40250802E+01 1.28869820E+01
 2.41725945E+01 1.33217621E+01
 2.43043160E+01 1.37550783E+01
 2.44197679E+01 1.41810799E+01
 2.45191598E+01 1.45977402E+01
 2.46029687E+01 1.50015020E+01
 2.46719766E+01 1.53904581E+01
 2.47274041E+01 1.57629395E+01
 2.47704911E+01 1.61178207E+01
 2.48025346E+01 1.64546394E+01
 2.48249269E+01 1.67732191E+01
 2.48390412E+01 1.70736599E+01
 2.48459649E+01 1.73565197E+01
 2.48470330E+01 1.76224422E+01
 2.48431611E+01 1.78721380E+01
